DATE,NYGDPPCAPKDUSA
2000-01-01,44726.9653975544
2001-01-01,44728.5974736901
2002-01-01,45087.3672776801
2003-01-01,45980.5145844589
2004-01-01,47287.5937706742
2005-01-01,48499.8123762241
2006-01-01,49405.7672967068
2007-01-01,49856.2814899496
2008-01-01,49319.4788648605
2009-01-01,47648.8132496326
2010-01-01,48466.6576026922
2011-01-01,48861.8804652706
2012-01-01,49595.8777235423
2013-01-01,50160.7234896692
2014-01-01,51051.9981368844
2015-01-01,52236.1193456172
2016-01-01,52746.4728559824
2017-01-01,53636.4753834132
2018-01-01,54953.6151523978
2019-01-01,55886.1842105832
2020-01-01,53748.9714326683
